1  1      2.091258    1.064415    0.781099 0
2  1      1.397527    0.036906   -0.143326 0
3  1      2.005423   -1.368583    0.055058 0
4  1      3.464943   -1.270975    0.557026 0
5  4      4.150005    0.000000   -0.000000 0
6  2      0.000000    0.000000    0.000000 0
7  3      1.627110    0.384714   -1.177074 0
8  1      1.446241    2.452889    0.633485 0
9  2      3.489514    1.184536    0.475352 0
10 3      1.966102    0.747928    1.839909 0
11 2      1.936339   -2.070933   -1.160052 0
12 3      1.473900   -1.939134    0.853912 0
13 3      1.047926   -2.512878   -1.187501 0
14 3      4.105864   -0.050340   -1.108311 0
15 2      2.118127    3.397553    1.447340 0
16 3      1.537803    2.792347   -0.421113 0
17 3      0.349187    2.408148    0.838059 0
18 1      1.438811    3.573446    2.671311 0
19 3      1.294792    2.610322    3.209727 0
20 3      0.471426    4.098844    2.515205 0
21 3      2.061444    4.215691    3.327687 0
22 2      4.195690   -2.441168    0.231155 0
23 3      3.462503   -1.084760    1.661729 0
24 1      4.059991   -3.410234    1.249364 0
25 3      4.602721   -4.324451    0.936201 0
26 3      2.997476   -3.701203    1.400923 0
27 5      4.525268   -3.062944    2.198360 0
28 3     -0.225488   -0.300647    0.894241 0
